seed,mode,sec_idx,sec_mean,sec_var,equil_price,total_demand,supply,excess,tat_iters,converged
181,correlated,5,3.570308186703515,3.570308186703515,15,0,20,-20,500,false
181,correlated,10,3.6005890802771936,3.6005890802771936,16,0,20,-20,500,false
181,correlated,4,7.66668097091398,7.66668097091398,48,20,20,0,500,false
181,correlated,14,2.348089561492741,2.348089561492741,10,0,20,-20,500,false
181,correlated,1,6.255517452364352,6.255517452364352,31,20,20,0,500,false
181,correlated,12,6.0839615477349565,6.0839615477349565,30,20,20,0,500,false
181,correlated,13,7.25693758884653,7.25693758884653,42,20,20,0,500,false
181,correlated,8,1.765184851661911,1.765184851661911,8,0,20,-20,500,false
181,correlated,9,9.985521999818731,9.985521999818731,89,20,20,0,500,false
181,correlated,16,6.967198566271918,6.967198566271918,40,0,20,-20,500,false
181,correlated,6,1.1408879533719347,1.1408879533719347,4,160,20,140,500,false
181,correlated,3,5.114098211415427,5.114098211415427,23,20,20,0,500,false
181,correlated,19,2.538319880883803,2.538319880883803,12,0,20,-20,500,false
181,correlated,20,5.980702683549997,5.980702683549997,28,60,20,40,500,false
181,correlated,17,2.567546373799289,2.567546373799289,11,0,20,-20,500,false
181,independent,7,5.479451234412005,5.479451234412005,26,20,20,0,500,false
181,independent,15,2.326921515763872,2.326921515763872,10,0,20,-20,500,false
181,independent,2,9.34454300600624,9.34454300600624,86,40,20,20,500,false
181,independent,11,3.5588083615482464,3.5588083615482464,16,0,20,-20,500,false
181,independent,18,9.32793619122271,9.32793619122271,93,0,20,-20,500,false
181,independent,5,3.570308186703515,3.570308186703515,16,0,20,-20,500,false
181,independent,10,3.6005890802771936,3.6005890802771936,15,60,20,40,500,false
181,independent,4,7.66668097091398,7.66668097091398,51,0,20,-20,500,false
181,independent,14,2.348089561492741,2.348089561492741,9,80,20,60,500,false
181,independent,1,6.255517452364352,6.255517452364352,32,0,20,-20,500,false
181,independent,12,6.0839615477349565,6.0839615477349565,30,60,20,40,500,false
181,independent,13,7.25693758884653,7.25693758884653,42,60,20,40,500,false
181,independent,8,1.765184851661911,1.765184851661911,7,0,20,-20,500,false
181,independent,9,9.985521999818731,9.985521999818731,115,20,20,0,500,false
181,independent,16,6.967198566271918,6.967198566271918,40,0,20,-20,500,false
181,independent,6,1.1408879533719347,1.1408879533719347,4,160,20,140,500,false
181,independent,3,5.114098211415427,5.114098211415427,24,0,20,-20,500,false
181,independent,19,2.538319880883803,2.538319880883803,12,0,20,-20,500,false
181,independent,20,5.980702683549997,5.980702683549997,31,0,20,-20,500,false
181,independent,17,2.567546373799289,2.567546373799289,11,0,20,-20,500,false
182,correlated,19,8.107658967912773,8.107658967912773,49,20,20,0,500,false
182,correlated,9,4.030132986266581,4.030132986266581,17,20,20,0,500,false
182,correlated,10,2.5625832888698326,2.5625832888698326,10,40,20,20,500,false
182,correlated,2,9.518446428207207,9.518446428207207,81,20,20,0,500,false
182,correlated,6,2.7983731703075025,2.7983731703075025,11,20,20,0,500,false
